GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
POO_Project,main.java,Estatisticas,408,0,34,0,109,0,28,0,11,0
POO_Project,main.java,CasaInteligente,638,193,59,5,151,49,62,14,30,14
POO_Project,main.java,SmartSpeaker,54,293,12,28,10,80,12,26,1,17
POO_Project,main.java,Programa,362,0,16,0,104,0,14,0,6,0
POO_Project,main.java,LinhaIncorretaException,4,0,0,0,2,0,1,0,1,0
POO_Project,main.java,Fatura,0,123,0,0,0,29,0,8,0,8
POO_Project,main.java,Parser,428,0,41,0,106,0,30,0,7,0
POO_Project,main.java,Formula,50,20,4,4,7,7,9,4,6,3
POO_Project,main.java,SmartDevice.Modo,0,24,0,0,0,2,0,1,0,1
POO_Project,main.java,Simulador,1704,96,136,0,454,27,124,3,56,3
POO_Project,main.java,Comercializador,276,152,20,0,67,45,24,9,14,9
POO_Project,main.java,SmartDevice,203,93,26,0,53,34,25,9,12,9
POO_Project,main.java,SmartBulb,149,151,18,4,25,44,11,14,2,12
POO_Project,main.java,Periodo,0,153,2,12,0,35,2,13,0,8
POO_Project,main.java,SmartCamera,67,212,4,2,11,62,4,14,1,14
