GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
POO_Project,smarthouse,SmartDevice.Modo,0,24,0,0,0,2,0,1,0,1
POO_Project,smarthouse,Programa,152,209,7,9,42,62,4,10,0,6
POO_Project,smarthouse,Periodo,0,152,0,14,0,35,0,15,0,8
POO_Project,smarthouse,Formula,10,60,1,7,1,13,2,11,1,8
POO_Project,smarthouse,Parser,324,100,32,9,72,30,20,10,1,6
POO_Project,smarthouse,CasaInteligente,71,761,5,59,16,174,5,71,2,42
POO_Project,smarthouse,Fatura,0,123,0,0,0,29,0,8,0,8
POO_Project,smarthouse,LinhaIncorretaException,0,4,0,0,0,2,0,1,0,1
POO_Project,smarthouse,Simulador,535,1265,52,84,124,346,52,77,9,52
POO_Project,smarthouse,Estatisticas,166,240,18,16,36,74,16,12,5,6
POO_Project,smarthouse,SmartBulb,52,248,6,16,8,61,5,20,0,14
POO_Project,smarthouse,Comercializador,27,400,4,16,5,106,2,31,0,23
POO_Project,smarthouse,SmartSpeaker,38,309,2,38,7,86,1,37,0,18
POO_Project,smarthouse,SmartDevice,31,265,0,26,7,79,1,33,1,20
POO_Project,smarthouse,SmartCamera,38,241,3,3,6,67,2,16,0,15
